"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules","8/54","181/9577",0.0441988950276243,7.83875588295478,6.99434324275043,6.90530464807864e-06,0.00112333276684564,0.00089215208712607,"19264/12526/16408/17528/22329/20737/15002/12511",8
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","6/54","94/9577",0.0638297872340425,11.3203309692671,7.57158379642849,1.34530870280915e-05,0.00112333276684564,0.00089215208712607,"12507/12526/16190/15002/16199/12493",6
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","9/54","294/9577",0.0306122448979592,5.42913832199546,5.80832340820657,3.3811846722397e-05,0.0018821928008801,0.00149483953930597,"23886/245527/55985/20299/16190/16185/24047/72049/16199",9
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","7/54","193/9577",0.0362694300518135,6.43245058530033,5.74093323190534,9.61953320408759e-05,0.00401615511270657,0.00318963469398694,"55985/18707/19354/22324/20299/94176/24047",7
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","7/54","247/9577",0.0283400809716599,5.02616584195532,4.82726756138424,0.000438859558765924,0.0141571435228929,0.0112436185558431,"12575/18707/16408/23871/16185/72049/15002",7
"Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration","5/54","119/9577",0.0420168067226891,7.45175848117025,5.33278388204291,0.000529560503381452,0.0141571435228929,0.0112436185558431,"18707/19354/16408/22324/22329",5
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","5/54","122/9577",0.040983606557377,7.26851851851852,5.2470610634084,0.000593413201558383,0.0141571435228929,0.0112436185558431,"19264/18707/12526/22324/17444",5
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","4/54","76/9577",0.0526315789473684,9.33430799220273,5.49279940703997,0.000857668665721787,0.0166280836627789,0.0132060418626545,"12575/18707/19354/27015",4
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","3/54","34/9577",0.0882352941176471,15.6486928104575,6.44314529305277,0.000896124269251557,0.0166280836627789,0.0132060418626545,"18628/18030/11865",3
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","3/54","36/9577",0.0833333333333333,14.7793209876543,6.23712109425885,0.00106076330290503,0.0177147471585141,0.014069071175372,"19264/12526/72049",3
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","4/54","84/9577",0.0476190476190476,8.44532627865961,5.1608792004672,0.00124768397087221,0.0189421111941509,0.0150438450076458,"18707/242248/19354/22324",4
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","4/54","88/9577",0.0454545454545455,8.06144781144781,5.0110290789292,0.00148303495187647,0.0206389030802809,0.0163914389417926,"12575/18707/19354/27015",4
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","4/54","94/9577",0.0425531914893617,7.54688731284476,4.80317017376611,0.00189170568027374,0.0234596654785937,0.0186316914610955,"19264/18707/19354/22324",4
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","4/54","95/9577",0.0421052631578947,7.46744639376218,4.77031130255393,0.00196667854311564,0.0234596654785937,0.0186316914610955,"55985/20299/16185/24047",4
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","5/54","171/9577",0.0292397660818713,5.18572666233485,4.15880434393673,0.00267023047789604,0.0297285659872426,0.0236104589624492,"12575/18707/16190/16185/16199",5
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","4/54","107/9577",0.0373831775700935,6.62997577016269,4.40986689906835,0.00303326371556154,0.0316596900311736,0.025144159747418,"245527/22329/24047/72049",4
"Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer","3/54","58/9577",0.0517241379310345,9.17337164750958,4.70133974416101,0.00420078412243889,0.0412665263792526,0.0327739194691826,"12575/18707/27015",3
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","4/54","120/9577",0.0333333333333333,5.91172839506173,4.0770902820928,0.0045752269673461,0.0424479390859333,0.0337121987067607,"18707/19354/16408/22324",4
